"Figure 1. Snow-Covered Area in North America, 1972-2015",
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,
"Data source: Rutgers University Global Snow Lab, 2016",
Web update: August 2016,
Units: square miles,
,
Year,Average mi^2
1972,3392279.714
1973,3298788.039
1974,3301085.77
1975,3392007.163
1976,3317339.739
1977,3247929.341
1978,3637832.497
1979,3354711.996
1980,3182642.822
1981,3178191.984
1982,3378676.737
1983,3294468.476
1984,3163445.904
1985,3584966.291
1986,3323220.947
1987,3031835.276
1988,3108661.765
1989,3186652.248
1990,3028377.939
1991,3163901.222
1992,3216186.508
1993,3209488.308
1994,3117547.037
1995,3215052.207
1996,3361739.59
1997,3384002.738
1998,3017915.64
1999,3076900.834
2000,3255006.578
2001,3232324.346
2002,3335300.413
2003,3281256.758
2004,3310144.98
2005,3120657.454
2006,3089063.947
2007,3202414.014
2008,3274836.562
2009,3254751.432
2010,3189228.26
2011,3240166.111
2012,3046496.057
2013,3370868.686
2014,3307196.356
2015,3103601.658
