"Figure 1. Change in the Magnitude of River Flooding in the United States, 1965–2015",,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,
"Data source: Slater and Villarini, 2016",,
46.58410589,-88.57596973,-0.104477733
30.68055556,-82.56055556,-0.103570029
41.58524549,-106.2227909,-0.103570029
43.57773999,-107.1383995,-0.102899149
35.49305556,-81.68222222,-0.102825776
37.03762635,-80.55672394,-0.102825776
35.78562063,-83.88460359,-0.102745101
46.97761606,-121.168696,-0.101655982
45.0069097,-107.6150953,-0.101415373
31.41850006,-86.9866403,-0.101265833
22.08573716,-159.5688692,-0.101255916
48.82292454,-120.1459245,-0.101113565
46.57501478,-85.26955476,-0.100510478
30.09827057,-83.47181116,-0.09960784
33.74502178,-116.5355709,-0.098425962
39.89924944,-98.25042485,-0.098116197
43.83805556,-110.4411111,-0.095588267
45.39956422,-122.1373068,-0.094965599
31.57349458,-86.25162264,-0.094901964
29.31430556,-99.4804722,-0.092585325
39.72959972,-123.6439073,-0.090505794
37.41763318,-79.93531928,-0.090266898
29.42856679,-99.9972871,-0.08862745
36.00055556,-80.74555556,-0.087195702
30.69875,-92.89319444,-0.08680854
37.12680956,-78.95973745,-0.086565956
36.65178127,-81.84401023,-0.082352944
44.54012357,-122.4359155,-0.08170215
30.88906941,-90.84454541,-0.081600629
40.05460222,-122.0241542,-0.081600629
36.56819358,-79.98726539,-0.080911323
36.26802087,-121.066303,-0.080816329
40.77994627,-111.806045,-0.080602825
37.16509314,-83.30795645,-0.080157332
39.11632734,-95.01088111,-0.080031388
36.37225823,-104.9700026,-0.079508863
39.43157246,-120.2379793,-0.079340234
33.63113647,-116.3922342,-0.079313278
41.90280739,-89.69622298,-0.07701391
37.17319951,-79.5203076,-0.076892897
36.24579648,-121.7732872,-0.076892897
34.16086787,-111.6929235,-0.076241128
61.7097433,-149.231938,-0.076042622
37.41542434,-78.63583923,-0.075841665
31.02767985,-86.70995668,-0.074534185
36.23916667,-81.82222222,-0.074509807
32.64845613,-99.00451456,-0.074509807
38.63706254,-78.852803,-0.074285716
46.37611111,-100.9344444,-0.074285716
36.71681395,-77.83165822,-0.073754415
39.94777732,-96.10861492,-0.073754415
33.32926607,-99.46508251,-0.073754415
35.18277778,-79.1775,-0.073627405
48.49524417,-114.0101189,-0.073055856
30.64351548,-99.09588478,-0.072185174
44.02774228,-107.0808955,-0.072102085
46.09166988,-101.333742,-0.06985873
40.49633109,-112.5744028,-0.069818184
29.37078917,-99.28781853,-0.06964305
37.70236251,-79.02752541,-0.069387756
36.40217399,-120.4334917,-0.069201961
37.07931121,-78.76361777,-0.069100954
43.82804586,-103.1960211,-0.06865555
45.83678093,-122.4662083,-0.068235293
35.23553035,-120.4723857,-0.067592621
28.95998449,-96.6863668,-0.067477442
34.37955418,-94.235763,-0.066518851
37.73159272,-119.5587736,-0.065149158
35.2988,-92.40393056,-0.064542502
34.00426528,-97.566968,-0.064489797
30.32578122,-82.73818263,-0.06433896
36.43947243,-105.5036203,-0.062960021
41.29454,-73.39512028,-0.06292516
39.97939105,-112.3802297,-0.06220521
42.70341694,-72.6706475,-0.062037066
38.71069034,-95.8360288,-0.061960783
40.01404745,-121.9483181,-0.061960783
36.19416667,-78.58305556,-0.061248574
28.44778229,-81.74007599,-0.060439579
37.86260737,-98.01385325,-0.060432836
39.23220666,-107.2272726,-0.059725072
36.76039313,-81.63122929,-0.0596781
38.71462743,-119.7648985,-0.059640542
37.33938634,-118.9734513,-0.059640542
22.13570783,-159.5577568,-0.059008945
44.20828238,-109.5548879,-0.058962427
31.5362873,-92.40847139,-0.058916014
31.02527778,-89.01666667,-0.057045594
37.71687138,-119.6662788,-0.05496667
44.09284191,-72.33565327,-0.054918494
46.15417025,-102.4740467,-0.054783396
36.61958252,-79.50419322,-0.05343822
41.92699898,-80.60396593,-0.053396191
30.6257499,-97.69112037,-0.052777801
37.70820958,-96.22360237,-0.052590281
43.87248893,-103.3365779,-0.051554982
38.51907831,-120.2126928,-0.051470604
27.19949477,-81.98841931,-0.051060546
33.37595623,-92.77710581,-0.050980393
38.28052642,-112.5682713,-0.050334442
38.69345016,-78.64279353,-0.04987742
40.71589833,-79.6994935,-0.049039681
55.3916038,-131.1955833,-0.048799992
46.59538432,-122.4595564,-0.048684765
36.99137778,-91.01351111,-0.048646528
36.99737383,-78.34971815,-0.047405023
39.64831927,-106.3230833,-0.046798799
43.7359565,-122.8734019,-0.046274509
45.49428561,-122.0359167,-0.045732956
36.39333333,-81.40694444,-0.045615591
37.79179587,-79.75949166,-0.045543812
37.33942723,-112.6043769,-0.045436569
36.50836055,-105.5308423,-0.044971444
37.62275721,-112.5168773,-0.044897959
41.63117349,-78.57668985,-0.043239113
43.75249491,-101.5248665,-0.042466316
37.66596174,-79.91143881,-0.041601267
44.50801953,-107.4036886,-0.040832996
33.81287833,-98.08504064,-0.039231069
31.28489022,-97.88502445,-0.039231069
43.7142361,-72.41814889,-0.035991896
40.21258144,-77.92527644,-0.035321832
36.18333333,-77.87611111,-0.035294119
46.15083333,-115.5872222,-0.035217222
38.80368382,-83.42102265,-0.034577671
45.1118797,-110.7943814,-0.034577671
38.19645062,-96.82457873,-0.034523342
46.47833333,-116.2575,-0.033831794
38.32513047,-78.0955557,-0.033524167
30.61602231,-90.24869545,-0.033177372
39.76026447,-105.9064014,-0.032563094
42.73998843,-91.26179908,-0.031862754
39.10740708,-120.1621352,-0.030636327
32.77791731,-94.3574153,-0.030527294
39.59637495,-106.2650264,-0.030278323
33.97420168,-112.0990458,-0.029399758
30.99602322,-92.67375497,-0.02749414
36.54169317,-105.5563978,-0.026154496
39.885,-74.50527778,-0.025536468
37.64202341,-84.66077678,-0.02512762
33.69421054,-111.541802,-0.025107885
35.43838224,-103.5257944,-0.023946788
30.33937764,-96.90470373,-0.023538643
39.09938003,-95.72495226,-0.021986667
47.23739444,-68.58264167,-0.021267937
45.44913202,-89.97931083,-0.021250527
39.23833024,-95.88859924,-0.021193098
41.1112571,-122.7055788,-0.021193098
48.13833739,-100.5398623,-0.020441566
42.79083333,-118.8675,-0.01962324
46.48661442,-90.69629696,-0.018790856
37.06709421,-77.602489,-0.018039215
45.45261834,-121.8914684,-0.018039215
37.86958499,-78.82335431,-0.017981216
40.37091615,-77.40220903,-0.017275238
45.25581712,-100.8429214,-0.01552288
36.25548056,-94.43394167,-0.014901961
33.47928058,-87.5972297,-0.014807961
39.12705242,-79.46838516,-0.01473604
39.17221259,-106.3891926,-0.014711903
44.32664897,-100.3843003,-0.013888893
37.15408056,-91.35816111,-0.012573699
36.64868056,-91.20081944,-0.012553942
37.68265278,-93.37033333,-0.012025903
44.08527778,-115.6222222,-0.0109847
44.36095451,-121.9956172,-0.010204084
44.39179225,-122.4975817,-0.009422857
38.64368745,-83.21573648,-0.009415457
40.69076057,-115.477003,-0.007852381
43.03328014,-92.50354351,-0.007058823
43.46417856,-86.23256675,-0.006296773
35.49590598,-87.83280366,-0.006276971
35.38722222,-79.83138889,-0.005714286
29.97938297,-97.91000511,-0.005490196
37.67315699,-82.28014077,-0.005323871
33.03843236,-101.1976302,-0.00489996
37.26817845,-80.70951247,-0.003921569
43.60138549,-100.7498608,-0.003269312
39.6258193,-106.2780823,0.001640033
39.59443117,-105.9725158,0.002465131
30.35884726,-82.08150134,0.003138486
39.68192405,-96.44289431,0.004707729
44.96166667,-115.5,0.004711429
44.79151084,-122.5789739,0.005498828
38.53067996,-77.81360454,0.00550316
38.54372659,-79.83311495,0.006538624
22.0687665,-159.4152575,0.007058823
46.84046563,-115.6207033,0.00741773
44.14387557,-103.4549107,0.00767594
37.6060452,-122.0238504,0.007858562
37.26077707,-122.3288603,0.009430274
38.33762566,-79.24003625,0.010612245
35.983175,-92.74755278,0.0109847
43.65944444,-115.7272222,0.010993334
42.23731167,-72.8956542,0.011773944
22.13267463,-159.61998,0.01256381
41.47368336,-77.23080907,0.015692428
43.74832745,-99.5564948,0.016359953
37.71541868,-78.98169097,0.017199108
41.18697738,-90.96736632,0.017275238
21.56233333,-158.00025,0.018830914
39.65613889,-79.39411111,0.019654144
39.06368935,-81.88180237,0.020441566
36.37083333,-77.02555556,0.021193098
41.08481482,-75.21462514,0.021233158
40.5203462,-79.93810799,0.021267937
37.56132196,-121.6838389,0.022745099
27.37504297,-81.79647082,0.022762958
31.70694444,-89.40694444,0.024351953
43.56646306,-71.7478569,0.024539929
44.15034134,-72.06509154,0.024539929
42.81099444,-98.17585833,0.025306122
41.08815078,-75.03767469,0.025326805
41.38951168,-77.6908191,0.026133118
46.90371641,-122.0351092,0.026154496
35.70836606,-105.6825171,0.027766438
45.71957668,-118.3232913,0.028268574
42.63841778,-72.7250922,0.029423807
44.71511723,-123.8873348,0.029886076
35.65198595,-105.3188997,0.030253517
30.33659809,-95.10409994,0.030612255
39.01955309,-77.57749181,0.031033078
35.77725369,-105.6580725,0.031409524
48.34108857,-96.81811688,0.033496741
40.36284598,-81.86235635,0.033751972
22.17838209,-159.4185902,0.035349607
44.91361111,-115.9972222,0.037691429
40.02477041,-90.63179466,0.039999999
64.9023739,-146.359366,0.040759653
38.15853056,-91.10845833,0.040832382
37.47750126,-107.5436688,0.040832382
27.47365137,-82.21120106,0.04092085
34.35451979,-99.74037187,0.041568626
48.58888752,-100.4420787,0.041632652
41.4758994,-77.82582513,0.043171126
41.76645099,-78.71863999,0.04333612
44.86893639,-72.2701042,0.044171873
40.68367333,-78.23362439,0.044811446
48.67262872,-121.0728964,0.044846795
45.61986694,-117.7265892,0.045807868
42.8008637,-83.0902121,0.046114851
34.82888889,-77.83222222,0.046274509
37.31549247,-121.1252081,0.046941966
37.75046667,-93.26618333,0.047077287
39.70219444,-79.13638889,0.047263145
37.14013231,-80.26643281,0.047443863
38.19540308,-79.57032338,0.049836617
44.48248388,-103.861592,0.049918316
29.97940752,-81.85204256,0.051020421
33.06117891,-108.5372751,0.052549019
39.08121763,-78.32944861,0.052590281
41.32507836,-76.91246379,0.053061225
44.43639239,-85.69867924,0.053692486
44.8692,-69.95510278,0.053943649
34.63843694,-94.6127236,0.053943649
35.92120028,-94.8385633,0.05416014
47.0006512,-123.4948838,0.055096764
36.39777778,-79.19666667,0.055773828
46.75260766,-122.0837194,0.056492742
41.31728467,-78.10305957,0.058153357
36.62200294,-90.84762251,0.060439579
36.62303333,-92.248125,0.06120047
30.48138889,-94.77972222,0.062154151
18.03246444,-66.0323866,0.062978745
40.66176219,-75.626854,0.063027129
40.32341928,-77.16887034,0.06433896
47.56888889,-116.2533333,0.06666667
37.48659935,-121.2091026,0.066966116
29.78661294,-83.32152625,0.067477442
38.85812494,-83.92853941,0.067655362
44.2686741,-71.63036172,0.068235293
41.36586984,-89.49842655,0.068235293
43.94500632,-86.2786896,0.069264501
39.62997222,-76.40330556,0.069501325
31.42583333,-89.41472222,0.069803923
21.1555,-156.7619722,0.069803923
22.07569977,-159.3958134,0.070838697
35.99535053,-92.21265464,0.071550354
20.88567925,-156.252743,0.073113412
41.7070195,-76.48466538,0.074509807
36.64596133,-80.91924444,0.076953337
41.57895225,-78.29251214,0.077074617
48.26149178,-122.0476407,0.077196471
47.35066169,-121.6631582,0.077769138
40.95189005,-93.25984769,0.078399353
38.37899915,-80.48397372,0.079248391
39.81799167,-91.5177,0.081664763
64.4723591,-146.926265,0.081732802
46.77260276,-122.5940086,0.082556665
45.29163167,-96.48755694,0.083987467
41.86648184,-74.48710014,0.085352056
43.7764,-98.24567222,0.085854575
38.44171643,-89.41675104,0.086031049
43.02889277,-99.78067095,0.086636767
33.1667329,-108.6497786,0.086879425
41.41840957,-77.03274598,0.087877601
38.35040774,-77.97499722,0.088979594
40.13256823,-82.14792013,0.089446843
44.30399167,-70.53968056,0.089979738
40.33032166,-90.89624511,0.091016084
47.37010733,-121.6251009,0.091615736
41.35702418,-76.53467084,0.091908984
41.79090746,-77.01468773,0.092658103
47.22915623,-98.12481891,0.093099236
39.12288353,-79.68117409,0.093251728
41.671765,-72.052298,0.093617052
37.40236944,-93.80202778,0.093877554
38.01896828,-94.71366829,0.094154574
48.42455859,-121.5684634,0.094154574
38.99122107,-79.17587059,0.094302744
39.79581958,-106.0305734,0.094589047
44.60797222,-67.93524167,0.094810046
38.5873427,-77.4285958,0.097293057
35.06416667,-77.46138889,0.098116197
47.80555344,-98.71621718,0.098856241
41.41339593,-78.19695238,0.09960784
42.6825859,-72.1150812,0.099714018
44.51172311,-71.8373143,0.100572504
41.52173586,-77.44747983,0.100589596
42.10619915,-74.7304349,0.10204082
48.01425781,-123.1326773,0.103843153
39.57005556,-79.10194444,0.105564967
45.17500833,-69.31469722,0.10625264
47.71232365,-121.7887272,0.10648153
42.1170341,-74.38014921,0.107026175
30.716306,-94.95882373,0.109019607
47.43277097,-98.02759541,0.111065753
48.16872009,-121.4706723,0.111416243
48.65595877,-121.2384563,0.111928135
38.18595326,-80.13062254,0.113562122
39.51077778,-76.6765,0.113904297
42.31952821,-74.43653726,0.114332393
38.22891667,-75.47144444,0.114644766
30.12936856,-84.49434823,0.114644766
37.4722725,-88.54726928,0.115350522
41.89009153,-74.58987933,0.116830103
42.16619633,-75.13989107,0.11846409
47.70611111,-115.9791667,0.118617572
44.01359238,-103.8304784,0.119246691
41.57533955,-78.69224919,0.120964542
37.87708193,-76.90052102,0.122498989
42.1200874,-74.81849264,0.123467058
47.70677144,-121.6001069,0.123500958
43.14869556,-70.96506028,0.125000045
39.14893485,-89.35230484,0.126572683
30.73611111,-88.78111111,0.127943516
39.61236111,-77.23744444,0.128145009
39.72283771,-83.88270656,0.128880411
37.28125445,-95.03266782,0.129411772
47.38649132,-121.8462217,0.129513383
43.74729136,-75.33434745,0.132515609
43.93450969,-72.65788214,0.132879227
47.80674726,-124.2510329,0.133595556
39.1357376,-120.4785353,0.134041786
45.500975,-68.30595556,0.13437207
44.39044444,-70.97964444,0.135565549
42.14481017,-74.65348886,0.135565549
41.0235791,-106.824766,0.135787606
30.81888889,-93.78555556,0.139041796
41.50449567,-84.42967186,0.139151335
41.07814118,-76.43105551,0.139662609
41.37024471,-106.5205815,0.139705926
41.84370889,-72.1689661,0.140365809
41.83124444,-100.1007778,0.141677395
40.14282371,-91.33737008,0.142801091
39.89842119,-78.13222904,0.146361604
41.05950916,-77.60582641,0.146666661
41.24688494,-93.26606966,0.14787586
47.5580525,-98.862885,0.148079604
44.64274722,-70.58878333,0.149387762
38.72833333,-75.56186111,0.149803922
39.27477321,-85.70164687,0.153061271
46.61732361,-123.277644,0.153061271
40.39240833,-91.597875,0.15620099
46.6201042,-122.945126,0.157679781
40.6300362,-87.72391809,0.177324444
47.68398059,-123.0115511,0.182189599
38.90577778,-75.51275,0.187774494
38.80422346,-85.67385502,0.18946594
41.10666667,-74.9522222,0.19661893
42.3931287,-76.5449429,0.199556559
46.65093418,-123.6526584,0.200863078
41.85255871,-79.31727083,0.202531666
39.07033129,-85.48607656,0.220498189
39.01004218,-87.9455882,0.224401727
41.21900212,-92.90853319,0.231931418
40.92283322,-83.34881158,0.232843205
44.3345666,-122.0470074,0.234285712
47.51425666,-123.3298868,0.238524914
39.81254461,-86.95389884,0.240282863
44.87739444,-71.05749444,0.241013139
42.35337341,-85.35388936,0.26513961
38.99719444,-75.78580556,0.282908231
55.3951944,-132.4086268,0.325296551
