"Figure 1. Reported Cases of Lyme Disease in the United States, 1991-2014",
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,
"Data source: CDC, 2015",
Web update: August 2016,
"Units: cases per 100,000 people",
,
Year,Incidence Rate
1991,3.743364999
1992,3.862553836
1993,3.176763949
1994,4.956944153
1995,4.39389763
1996,6.108147417
1997,4.695083211
1998,6.090538352
1999,5.831776879
2000,6.283615148
2001,5.975738655
2002,8.261793674
2003,7.332788104
2004,6.763538821
2005,7.886189838
2006,6.679739218
2007,9.110609845
2008,9.510547144
2009,9.765899755
2010,7.293103163
2011,7.815947788
2012,7.008326499
2013,8.595011757
2014,7.953093564
